smhi_channel	smhi_code	smhi_units	myo_scaling	myo_channel	myo_code	units	valid_min	valid_max	standard_name	type_of_analysis	long_name
8001	Year	num_value	1	8001	YEAR	num_value	1700	2099	year	-	Year
8002	Latitude	deg	1	8002	LATX	degree_north	-90	90	latitude	-	Latitude of each location
8003	Longitude	deg	1	8003	LONX	degree_east	-180	180	longitude	-	Longitude of each location
8028	WindForce	Beaufort	1	8028	WBFO	-	0	12	beaufort_wind_force	-	Beaufort wind force
8029	Gust	m/s	1	8029	GSPD	m s-1	0	100	wind_speed_of_gust	-	Gust wind speed
8030	WindDir	deg	1	8030	WDIR	degree	0	360	wind_from_direction	-	Wind from direction relative true north
8031	WindSpeed	m/s	1	8031	WSPD	m s-1	0	100	wind_speed	-	Horizontal wind speed
8032	Airpressure	hPa	1	8032	ATMP	hPa	950	1050	air_pressure	-	Atmospheric pressure at altitude
8033	AirTemp	degC	1	8033	DRYT	degrees_C	-20	40	air_temperature	-	Air temperature in dry bulb
8034	Humidity	%	1	8034	RELH	%	0	100	relative_humidity	-	Relative humidity
8041	Hs	m	1	8041	VGHS	m	0	30	sea_surface_wave_significant_height	unkown	Generic format
8042	Hs	m	1	8042	VAVH	m	0	30	sea_surface_wave_significant_height	zero crossing	Average height highest 1/3 wave (H1/3)
8043	Hm0	m	1	8043	VHM0	m	0	30	sea_surface_wave_significant_height	spectral analysis	Spectral significant wave height (Hm0)
8044	Tz	s	1	8044	VTZA	s	0	30	sea_surface_wave_mean_period	zero crossing	Average zero crossing wave period (Tz)
8045	Mdir	deg	1	8045	VMDR	degree	0	360	sea_surface_wave_from_direction	spectral analysis	Mean wave direction from (Mdir)
8046	Hmax_estimated	m	1	8046	VEMH	m	0	30	sea_surface_wave_maximum_height	unknown	Estimated maximum wave height
8047	Hmax_zero_up	m	1	8047	VZMX	m	0	30	sea_surface_wave_maximum_height	zero crossing	Maximum zero crossing wave height (Hmax)
8048	Hmax_zero_down	m	1	8048	VZMD	m	0	30	sea_surface_wave_maximum_height	zero crossing	Maximum zero down crossing wave height (Hmax)
8060	Fluorescence	relative	1	8060	FLUO	relative	-0.1	10	fluorescence	-	Fluorescence
8061	LightAtt	m-1	1	8061	TUR2	m-1	0	10	light_attenuation	-	Light attenuation coefficient
8062	Chlorophyll	ug/l	1	8062	CPHL	mg m-3	0	1000	mass_concentration_of_chlorophyll_a_in_sea_water	-	Chlorophyll-a
8063	Chlorophyll-fluorescence	ug/l	1	8063	FLU2	mg m-3	0	1000	mass_concentration_of_chlorophyll_a_fluorescence_in_sea_water	-	Chlorophyll-a fluorescence
8086	Specific_weight	g/cm3	1	8086	SPEC	g cm-3	0	2	specific_weight	-	Specific weight
8087	Temperature_specific_weight	degC	1	8087	TSPE	degrees_C	-2	32	temperature_specific_weight	-	Temperature specific weight
8088	Number_of_hits	-	1	8088	CNUM	-	0	1000	number_of_hits	-	Number of hits
8092	Quality_flag	-	1	8092	QFLA	-	0	9	quality_flag	-	Quality flag
8165	CDOM	ppb	1	8165	CDOM	1e-9	0	100	concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate	-	Cdom
8166	Phycoerythrin	ug/l	1	8166	PHER	mg m-3	0	100	phycoerythrin	-	Phycoerythrin
8167	pCO2_luft	ppm	1	8167	PCO2	µatm	0	100	surface_partial_pressure_of_carbon_dioxide_in_sea_water	-	CO2 partial pressure
8168	WatPres	dBar	1	8168	PRES	dbar	0	6000	sea_water_pressure	-	Sea pressure
8169	Oxygen	umol/kg	1	8169	DOX2	µmol kg-1	0	450	moles_of_oxygen_per_unit_mass_in_sea_water	-	Dissolved oxygen
8171	Speed	knots	1	8171	SPOG	knots	0	50	platform_speed_wrt_sea_water	-	Platform speed wrt sea water
8173	Phycocyanin	ug/l	1	8173	PHYC	mg m-3	0	1000	phycocyanin	-	Phycocyanin
8174	Turbidity	NTU	1	8174	TUR4	1	0	10000	sea_water_turbidity	-	Turbidity
8175	PAR	uEm2s-1	1	8175	LGHT	uEm2s-1	0	4000	par	-	Light irradiance immerged par
8176	Oxygen	mmol/m3	1	8176	DOXY	mmol m-3	0	650	mole_concentration_of_dissolved_molecular_oxygen_in_sea_water	-	Dissolved oxygen
8177	PCO2	ppm	1	8177	XCO2	µatm	0	5000	pco2	-	CO2 mole fraction in dry gas
8178	Depth	m	1	8178	DEPH	m	0	6000	depth	-	Depth
8179	WatTemp	degC	1	8179	TEMP	degrees_C	-2	32	sea_water_temperature	-	Sea temperature
8180	WatTemp2	degC	1	8180	TEMP2	degrees_C	-2	32	sea_water_temperature	-	Sea temperature
8181	Salinity	PSU	1	8181	PSAL	0.001	0	40	sea_water_practical_salinity	-	Practical salinity
