Data type	Check status	Checked by	Year	Sampling platform (code)	Visit event identifier	Expedition identifier	Station name	Reported station name	Project	Orderer	Sampling date	Sampling time (start)	Sampling date (end)	Sampling time (end)	Shark sample id	Sample latitude (DM)	Sample longitude (DM)	Sample latitude (DD)	Sample longitude (DD)	Positioning system (code)	Station water depth	Wind direction (code)	Wind speed (m/s)	Air temperature (C)	Wet-bulb temperature (C)	Air pressure (hpa)	Weather observations (code)	Cloud (code)	Wave observation (code)	Ice (code)	Secchi depth (m)	Q-flag Secchi depth	Additional Sampling	Sampling event comment	Sampling depth (m)	Pressure CTD (dbar)	Q-flag Pressure CTD	Temperature bottle (C)	Q-flag Temperature bottle	Temperature CTD (C)	Q-flag Temperature CTD	Salinity bottle (o/oo psu)	Q-flag Salinity bottle	Salinity CTD (o/oo psu)	Q-flag Salinity CTD	Conductivity_25 bottle (mS/m)	Q-flag Conductivity_25 bottle	Conductivity CTD (mS/m)	Q-flag Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	Q-flag Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	Q-flag Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	Q-flag Hydrogen sulphide H2S	pH	Q-flag pH	pH Laboratory	Q-flag pH Laboratory	Temperature pH Laboratory (C)	Q-flag Temperature pH Laboratory	Alkalinity (mmol/kg)	Q-flag Alkalinity	Alkalinity_2 (mmol/l)	Q-flag Alkalinity_2	Phosphate PO4-P (umol/l)	Q-flag Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	Q-flag Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	Q-flag Nitrite NO2-N	Nitrate NO3-N (umol/l)	Q-flag Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	Q-flag Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	Q-flag Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	Q-flag Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	Q-flag Humus	Chlorophyll-a bottle (ug/l)	Q-flag Chlorophyll-a bottle	Dissovled organic carbon DOC (umol/l)	Q-flag Dissovled organic carbon DOC	Particulate organic carbon POC (umol/l)	Q-flag Particulate organic carbon POC	Total organic carbon TOC (mg/l)	Q-flag Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	Q-flag Particulate organic nitrogen PON	Current direction (deca degrees)	Q-flag Current direction	Current velocity (cm/s)	Q-flag Current velocity	Lignin (mg/l)	Q-flag Lignin	Yellow substance (1/l)	Q-flag Yellow substance	Aluminium (ug/l)	Q-flag Aluminium	Urea (umol/l)	Q-flag Urea	Colored dissolved organic matter CDOM (1/m)	Q-flag Colored dissolved organic matter CDOM	Sample comment	Water category	Water district	Sea area name	Sea area code	Water type area	Sea basin	HELCOM/OSPAR area	Economic zone	County	Municipality	Station ID (VISS)	Reporting institute	Data holding centre	Internet access	Data set name	File name
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+0+0	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				0					4.68				6.613								8.87												1.600		0.75		0.99						4.02		0.93		22.6						0.6																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+5+5	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				5					4.79				6.711								8.65												1.608		0.73		0.98						3.94		0.85		22.1						0.6																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+10+10	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				10					4.80				6.717								8.62												1.612		0.73		0.96						3.94		0.78		22.0						0.5																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+15+15	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				15					4.78				6.720								8.62												1.613		0.73		0.97						3.97		0.83		22.2						0.4																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+20+20	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				20					4.72				6.724								8.63												1.613		0.72		0.95						3.92		0.78		22.1						0.4																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+25+25	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				25					4.80				6.745								8.58												1.615		0.74		0.97						3.89		0.75		22.3																															2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+30+30	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				30					4.97				6.764								8.52												1.619		0.74		0.96						3.96		0.73		21.9						0.3																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+35+35	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				35					5.89				7.237								7.25												1.661		0.94		1.21						4.09		0.44		21.6																															2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	7798	5054		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-12-12	08:10			SHARK-HYD+2017+7798+5054+40+40	58 48.19	17 37.52	58.80317	17.62533	NOM	44	32	6	2			7	8	2	0	9.0				40					6.16				7.442								6.08												1.681		1.06		1.36						4.09		0.41		21.8						0.4																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77LA	0103		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-11-14	07:55			SHARK-HYD+2017+77LA+0103+0+0	58 48.19	17 37.52	58.80317	17.62533	NOM	40.3	23	3	0			1	1	2	0	10.3				0					7.54				6.332								7.89												1.555		0.53		0.81						2.28		1.40		21.7						1.5																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_DEEP	SHARK_PhysicalChemical_2017_BAS_DEEP_version_2018-06-20.zip
