stnreg_stnid	Stnreg	Platform type
BPWM44	13/9 VISBY/VÄSTERV	BTL
BPEG01	3125 LAUSVIKEN	BTL
SOCX37	31S	BTL
BPWG02	4002 IREVIKEN	BTL
KAWA11	409 ÅLBORG BUGT	BTL
KAEX95	418 KATTEGAT S	BTL
KAWX15	425 GNIBEN	BTL
BPSA01	441 STEVNS KLINT	BTL
BPSA10	449 FALSTER E	BTL
BSKX17	450 KELDS NOR	BTL
KAEX96	922 HESSELÖ	BTL
KAWX14	925 KATTEGAT SW	BTL
BSGX17	935 ASNAES	BTL
BSGX16	939 HALSSKOV	BTL
BSKX18	952 FEHMARN BELT	BTL
BSMX19	954 GEDSER REV	BTL
KAEL52	A4 LAHOLMSBUKTEN	BTL
BPSA52	ABBEKÅS	BTL
FIBG26	ALSBÄCK	BTL
KAEX29	ANHOLT E	BTL
FIBO51	ASKERÖFJORDEN	BTL
BPNS45	ASKRIKEFJÄRDEN	BTL
BPNX01	B1	BTL
BPWK06	B1-V	BTL
GBSY18	B38	BTL
KAEL57	B4 LAHOLMSBUKTEN	BTL
GBSX59	B7	BTL
BPSE11	BCS III-10	BTL
GBSC01	BILLUDDEN / B1	BTL
GBBX88	BJURÖKLUBB	BTL
FIBG23	BJÖRKHOLMEN	BTL
KANI82	BJÖRKÖFJORDEN	BTL
FIBO48	BJÖRNINGARNA	BTL
BPWK19	BLÅ JUNGFRUN	BTL
GREX01	BMP-G1	BTL
BPSE13	BMP-J2	BTL
GBBX01	BO1	BTL
GBBX33	BO3 / A3	BTL
FIBO43	BORGILAFJORD	BTL
FIBG24	BORNÖ	BTL
SKEX80	BROA	BTL
FIBB62	BROFJORDEN	BTL
GBSX84	BRÄMÖN	BTL
GBBA05	BUREÅ 3	BTL
GBSX48	B-VII	BTL
BPSA02	BY1	BTL
BPEX13	BY10	BTL
BPEX14	BY11	BTL
BPEX18	BY12	BTL
BPEX19	BY13	BTL
BPEX20	BY14	BTL
BPEX21	BY15 GOTLANDSDJ	BTL
BPEX22	BY16	BTL
BPEX23	BY17	BTL
BPEX24	BY18	BTL
BPEX25	BY19	BTL
BPSA03	BY2 ARKONA	BTL
BPEX26	BY20 FÅRÖDJ	BTL
BPNX27	BY21	BTL
GFXX28	BY22	BTL
GFXX29	BY23 / LL7	BTL
GFXX30	BY24	BTL
GFXX31	BY25 / LL11	BTL
BPNX32	BY26	BTL
BPNX33	BY27	BTL
BPNX34	BY28	BTL
BPNX35	BY29 / LL19	BTL
BPSA04	BY3 HAMRARNE SUND	BTL
BPNX36	BY30	BTL
BPNX37	BY31 LANDSORTSDJ	BTL
BPWX38	BY32 NORRKÖPINGSDJ	BTL
BPWX39	BY33	BTL
BPWX40	BY34	BTL
BPWX41	BY35	BTL
BPWX42	BY36	BTL
BPWX43	BY37	BTL
BPWX45	BY38 KARLSÖDJ	BTL
BPSE49	BY39 ÖLANDS S UDDE	BTL
BPSB06	BY4 CHRISTIANSÖ	BTL
BPSB07	BY5 BORNHOLMSDJ	BTL
BPSE09	BY7 STOLPE RÄNNA	BTL
BPSE10	BY8 RYSSHÅLAN	BTL
BPSE12	BY9 KLAIPEDA	BTL
FIBO47	BYFJORDEN	BTL
FIBO45	BYFJORDEN INRE	BTL
GBBA03	BYSKE 2	BTL
GBBA04	BYSKE 3	BTL
FIBX32	BYTTELOCKET	BTL
GBSX31	C3	BTL
KAEL56	C4 LAHOLMSBUKTEN	BTL
GBSY19	C5	BTL
GBBX47	C-VI	BTL
KANI04	DANAFJORD	BTL
FIBO49	DOKORSVIKEN	BTL
GBSY29	DOMSJÖ 10	BTL
GBSY35	DOMSJÖ 110	BTL
GBSY30	DOMSJÖ 20	BTL
GBSY31	DOMSJÖ 30	BTL
GBSY32	DOMSJÖ 40	BTL
GBSY33	DOMSJÖ 60	BTL
GBSY34	DOMSJÖ 90	BTL
SOSX48	DROGDEN E	BTL
KANI88	DYNAN	BTL
FIBX20	E VÄDERÖ	BTL
KANI07	E ÄLVSBORGSBRON	BTL
KANI85	E ÖCKERÖ	BTL
KAEL55	E4/D4 LAHOLMSBUKTEN	BTL
GBSC04	EGGEGRUND / B4	BTL
BPNS53	EKHAGEN	BTL
BPEX62	ESE NÄR	BTL
GBBX44	F10	BTL
GBBX52	F12	BTL
GBBX32	F13	BTL
GBQX31	F16	BTL
GBSX30	F18 SYDOSTBROTTEN	BTL
GBBX46	F2	BTL
KAEL54	F2 LAHOLMSBUKTEN	BTL
GBSX22	F26 / C15	BTL
GBBX45	F3 / A5	BTL
GBSX03	F33 GRUNDKALLEN	BTL
KAEL53	F4 LAHOLMSBUKTEN	BTL
GBBX51	F6	BTL
GBAX02	F64 SOLOVJEVA	BTL
GBAX79	F64B	BTL
GBAX49	F69	BTL
GBBX41	F7	BTL
GBBX42	F8	BTL
GBBX43	F9 / A13	BTL
KANX71	FALKENBERG-1	BTL
KANX72	FALKENBERG-2	BTL
KANX73	FALKENBERG-3	BTL
KAEX74	FALKENBERG-4	BTL
KAEX76	FALKENBERG-6	BTL
KAEX77	FALKENBERG-7	BTL
BPSA51	FALSTERBO	BTL
GBBX90	FARSTUGRUNDEN	BTL
KANX25	FLADEN	BTL
KANX20	FLADEN FYRSKEPP	BTL
KANX21	FLADEN-1	BTL
KANX22	FLADEN-2	BTL
KANX23	FLADEN-3	BTL
KANX24	FLADEN-4	BTL
BPEG03	FÅ1 FÅRÖSUND	BTL
KAEL50	G1 LAHOLMSBUKTEN	BTL
FIBO10	GALTERÖ	BTL
GBSF51	GAVIK-1	BTL
BPNE31	GB10 / BRÅVIK KARDONHOLM	BTL
BPNE32	GB11 / BRÅVIK PAMPUSFJ	BTL
BPNE33	GB12 / BRÅVIK GETÅ TUSTN	BTL
BPNE34	GB13 / BRÅVIK ESTERÖN	BTL
BPNE35	GB14 / BRÅVIK GERHBERG	BTL
BPNE36	GB15 / BRÅVIK KVARSEBO	BTL
BPNE37	GB16 / BRÅVIK LÖNÖ	BTL
BPNE38	GB19 / BRÅVIK GETÅSAMH	BTL
BPNE39	GB20 / BRÅVIK Ö ESTERÖN	BTL
BPNE40	GB22 / BRÅVIK MELLERSTA	BTL
BPSA37	GDR-113	BTL
BPSA36	GDR-30	BTL
KANI95	GF1	BTL
KANX08	GF10	BTL
KANI96	GF2	BTL
KANX01	GF3	BTL
KANX03	GF5	BTL
KANX04	GF6	BTL
KANX05	GF7	BTL
KANX06	GF8	BTL
KANX07	GF9	BTL
GBAO05	GRANFJÄRDEN	BTL
BPNO58	GRÄSSKÄREN	BTL
BPNS59	GUNNARSTENARNA	BTL
GBSY36	H0	BTL
GBSY37	H10	BTL
KAES58	H2 SKÄLDERVIKEN	BTL
GBSY38	H30	BTL
BPNH04	H4	BTL
GBSY39	H50	BTL
GBSY40	H80	BTL
GBSY41	H90	BTL
FIBO52	HAKEFJORDEN	BTL
KAEX32	HALLANDS VÄDERÖ	BTL
FIBO50	HALSANABBE	BTL
BPSH20	HANÖ-10	BTL
BPSH12	HANÖ-2	BTL
BPSH15	HANÖ-5	BTL
BPSH16	HANÖ-6	BTL
BPSH17	HANÖ-7	BTL
BPSH18	HANÖ-8	BTL
BPSH19	HANÖ-9	BTL
BPSH05	HANÖBUKTEN	BTL
BPSH51	HANÖBUKTEN-KBV	BTL
FIBO46	HAVSTENSFJORD	BTL
SKSX66	HS2	BTL
SKSX67	HS3	BTL
SKEX69	HS5	BTL
SKEX71	HS7	BTL
GBAO01	HUNSAREN	BTL
GBAO04	HUSBACKASUNDET	BTL
KANI49	HÅLLSUNDSUDDE	BTL
KANI06	HÄLLSÖ	BTL
BPWX57	HÄRADSSKÄR	BTL
GBSA01	HÖ2 / ÖGERBOFJÄRDEN	BTL
GBSA02	HÖ3 / ÖGERBOFJÄRDEN	BTL
GBSX86	HÖGBONDEN	BTL
FIBI01	IDEFJORDEN-1	BTL
FIBI06	IDEFJORDEN-11	BTL
FIBI07	IDEFJORDEN-12	BTL
FIBI08	IDEFJORDEN-13	BTL
FIBI09	IDEFJORDEN-14	BTL
FIBI10	IDEFJORDEN-14A	BTL
FIBI11	IDEFJORDEN-15	BTL
FIBI12	IDEFJORDEN-16	BTL
FIBI13	IDEFJORDEN-17	BTL
FIBI02	IDEFJORDEN-2	BTL
FIBI03	IDEFJORDEN-3	BTL
FIBI04	IDEFJORDEN-4	BTL
FIBI05	IDEFJORDEN-5	BTL
FIBO07	INSTÖ RÄNNA	BTL
FIBO61	ISAKEN W	BTL
BPSH31	K1 / INRE SÖLVESBVIKEN	BTL
BPWK02	K11-MV	BTL
BPSH39	K12 / RONNEBYFJÄRDEN	BTL
GBSH01	K152	BTL
GBSH02	K158	BTL
BPWK03	K15-MV	BTL
GBSH03	K179	BTL
BPSH44	K19 / TORHAMNS SKÄRGÅRD	BTL
GBSH04	K190	BTL
GBSH05	K200	BTL
BPSH43	K21 / SO VERKÖ	BTL
BPSH32	K24 / PUKAVIK	BTL
BPSH41	K26 / SALTÖ	BTL
BPSH35	K27 / NASTENSÖ	BTL
BPSH37	K28 / TJÄRÖ	BTL
GBSH06	K283	BTL
GBSH07	K286	BTL
GBSH08	K288	BTL
BPSH38	K29 / SV LINDESKÄR	BTL
GBSH09	K293	BTL
BPSH36	K30 / TJÄRNÖ HAMN	BTL
GBSL01	K330 / A	BTL
GBSL02	K333	BTL
GBSL03	K336 / G	BTL
GBSL04	K337 / H	BTL
GBSL05	K338 / I	BTL
GBSL06	K350 / SM	BTL
GBSL07	K382 / M	BTL
GBSL08	K384 / O	BTL
GBSL09	K387 / R	BTL
GBSL10	K390 / U	BTL
BPWK04	K3-V	BTL
GBSG51	K506	BTL
GBSG52	K508	BTL
GBSG53	K509	BTL
GBSG54	K525	BTL
BPSH33	K6 / S KASEN	BTL
GBSG61	K619	BTL
GBSG62	K627	BTL
GBSG63	K630	BTL
GBSG64	K643	BTL
GBSG65	K650	BTL
GBSG66	K655	BTL
BPSH34	K7 / KARLSHAMNSFJÄRDEN	BTL
KANI90	KA 4	BTL
GBBK04	KA12 / LÅNGÖREN	BTL
GBBK01	KA15 / VALLSUNDET	BTL
GBBK05	KA16 / YTTERSTLANDET	BTL
GBBK02	KA2 / BÅTÖREN	BTL
GBBK03	KA7 / KVARNÖREN	BTL
BPSH42	KAARV4 / NO ASPÖ	BTL
FIBO44	KALVÖFJORD	BTL
BPNS60	KANHOLMSFJÄRDEN	BTL
BPSH53	KARLSHAMN	BTL
BPSH52	KARLSKRONA	BTL
FIBO62	KATTEN	BTL
BSKX20	KIELER BUCHT	BTL
BPWG01	KL12 KLINTEHAMN	BTL
