Data type	Check status	Checked by	Year	Sampling platform (code)	Visit event identifier	Expedition identifier	Station name	Reported station name	Project	Orderer	Sampling date	Sampling time (start)	Sampling date (end)	Sampling time (end)	Shark sample id	Sample latitude (DM)	Sample longitude (DM)	Sample latitude (DD)	Sample longitude (DD)	Positioning system (code)	Station water depth	Wind direction (code)	Wind speed (m/s)	Air temperature (C)	Wet-bulb temperature (C)	Air pressure (hpa)	Weather observations (code)	Cloud (code)	Wave observation (code)	Ice (code)	Secchi depth (m)	Q-flag Secchi depth	Additional Sampling	Sampling event comment	Sampling depth (m)	Pressure CTD (dbar)	Q-flag Pressure CTD	Temperature bottle (C)	Q-flag Temperature bottle	Temperature CTD (C)	Q-flag Temperature CTD	Salinity bottle (o/oo psu)	Q-flag Salinity bottle	Salinity CTD (o/oo psu)	Q-flag Salinity CTD	Conductivity_25 bottle (mS/m)	Q-flag Conductivity_25 bottle	Conductivity CTD (mS/m)	Q-flag Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	Q-flag Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	Q-flag Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	Q-flag Hydrogen sulphide H2S	pH	Q-flag pH	pH Laboratory	Q-flag pH Laboratory	Temperature pH Laboratory (C)	Q-flag Temperature pH Laboratory	Alkalinity (mmol/kg)	Q-flag Alkalinity	Alkalinity_2 (mmol/l)	Q-flag Alkalinity_2	Phosphate PO4-P (umol/l)	Q-flag Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	Q-flag Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	Q-flag Nitrite NO2-N	Nitrate NO3-N (umol/l)	Q-flag Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	Q-flag Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	Q-flag Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	Q-flag Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	Q-flag Humus	Chlorophyll-a bottle (ug/l)	Q-flag Chlorophyll-a bottle	Dissovled organic carbon DOC (umol/l)	Q-flag Dissovled organic carbon DOC	Particulate organic carbon POC (umol/l)	Q-flag Particulate organic carbon POC	Total organic carbon TOC (mg/l)	Q-flag Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	Q-flag Particulate organic nitrogen PON	Current direction (deca degrees)	Q-flag Current direction	Current velocity (cm/s)	Q-flag Current velocity	Lignin (mg/l)	Q-flag Lignin	Yellow substance (1/l)	Q-flag Yellow substance	Aluminium (ug/l)	Q-flag Aluminium	Urea (umol/l)	Q-flag Urea	Colored dissolved organic matter CDOM (1/m)	Q-flag Colored dissolved organic matter CDOM	Sample comment	Water category	Water district	Sea area name	Sea area code	Water type area	Sea basin	HELCOM/OSPAR area	Economic zone	County	Municipality	Station ID (VISS)	Reporting institute	Data holding centre	Internet access	Data set name	File name
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+0+0	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					0					12.22				6.035								7.50												1.494		0.08		0.63						0.02	<	0.05		20.35		13.3				2.99																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+5+5	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					5					12.09				6.064								7.69												1.492		0.08		0.67						0.02	<	0.07		20.51		13.4				3.22																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+10+10	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					10					11.74				6.132								7.48												1.504		0.15		0.70						0.02	<	0.07		20.48		13.7				2.75																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+15+15	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					15					10.32				6.122								7.36												1.502		0.18		0.81						0.02	<	0.10		21.31		14.3				3.15																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+20+20	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					20					10.11				6.137								7.27												1.504		0.22		0.72						0.03		0.21		19.62		14.3				2.24																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+25+25	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					25					9.76				6.163								7.18												1.508		0.28		0.79						0.15		0.52		20.15		14.8																													2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+30+30	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					30					8.25				6.343								6.81												1.536		0.50		0.88						0.44		1.50		19.71		17.9				0.46																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+35+35	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					35					7.43				6.448								6.76												1.551		0.55		0.94						0.43		1.36		20.06		19.0																													2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77UR	0060		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-16	06:53			SHARK-HYD+2014+77UR+0060+40+40	58 48.19	17 37.52	58.80317	17.62533			27	4	13			2	7	2	0					40					6.59				6.594								6.66												1.570		0.64		1.09						0.54		1.36		21.74		20.7				0.61																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77LA	0049		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-03	06:36			SHARK-HYD+2014+77LA+0049+0+0	58 48.19	17 37.52	58.80317	17.62533		41.5	05	4	12			2	7	2	0	6.5				0					11.98				6.111								7.50												1.511		0.13		0.73						0.03						12.3				2.09																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77LA	0049		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-03	06:36			SHARK-HYD+2014+77LA+0049+5+5	58 48.19	17 37.52	58.80317	17.62533		41.5	05	4	12			2	7	2	0	6.5				5					11.87				6.112								8.02												1.508		0.12		0.70						0.02	<	0.21		20.94		12.4				1.98																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2014	77LA	0049		B1	B1	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2014-06-03	06:36			SHARK-HYD+2014+77LA+0049+10+10	58 48.19	17 37.52	58.80317	17.62533		41.5	05	4	12			2	7	2	0	6.5				10					10.37				6.144								8.29												1.507		0.12		0.71						0.02	<	0.25		21.36		13.3				1.98																									2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		Stockholms universitets marina forskningscentrum	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2014_BAS_SMRC	SHARK_PhysicalChemical_2014_BAS_SMRC_version_2018-06-20.zip
