ices_code	ices_description	code_type
CF	Contaminants and biological effects of contaminants (including fish disease) in biota data	DTYPE
CS	Contaminants and biological effects of contaminants in sediment data	DTYPE
CTD	Internal use only - ESD CTD	DTYPE
CW	Contaminants + nutrients + biological and eutrophication effects in water data	DTYPE
DF	Fish disease data (moved to CF in version 3.2)	DTYPE
LT	Litter data	DTYPE
PB	Phytobenthos community (macrophytes) data	DTYPE
PP	Phytoplankton community data	DTYPE
ZB	Zoobenthos community data	DTYPE
ZP	Zooplankton community data	DTYPE
AF	Sea water sample - After filtration (deprecated)	MATRX
AW	Aboral body wall	MATRX
BA	Baleen	MATRX
BB	Blubber	MATRX
BC	Blood cells	MATRX
BE	Beach	MATRX
BF	Sea water sample - Before filtration (deprecated)	MATRX
BI	Bile	MATRX
BIL	Bill (bird)	MATRX
BL	Blood	MATRX
BM	Brown meat consisting of hepatopancreas (digestive gland) and reproductive organs	MATRX
BO	Bone	MATRX
BP	Blood plasma (serum including clotting factors)	MATRX
BR	Brain	MATRX
BRD	Brood	MATRX
BS	Blood serum (blood component without cells and clotting factors)	MATRX
BW	Body wall	MATRX
CD	Central digestive tract	MATRX
CP	Carapace	MATRX
DG	Digestive gland	MATRX
EA	Egg albumin	MATRX
EE	Egg embryo	MATRX
EG	Eggs	MATRX
EH	Egg homogenate of yolk and albumin	MATRX
EP	Epidermis (skin)	MATRX
ER	Erythrocytes (red blood cells in vertebrates)	MATRX
ES	Egg shell	MATRX
EX	Exoskeleton	MATRX
EY	Egg yolk	MATRX
EYE	Eye	MATRX
FA	Fat	MATRX
FE	Feathers	MATRX
FN	Fin	MATRX
FR	Frond	MATRX
FRY	Fry - recently hatched fish can feed itself	MATRX
FS	Sediment sample - Fractionated (deprecated)	MATRX
GI	Gill	MATRX
GO	Gonads (undeterminable sex)	MATRX
HA	Hair/fur	MATRX
HE	Heart	MATRX
HMC	Haemocyte	MATRX
HML	Haemolymph	MATRX
HP	Hepatopancreas	MATRX
IN	Intestine	MATRX
KI	Kidney	MATRX
KICYT	Kidney - Cytosol	MATRX
KIS9	Kidney - S9 fraction	MATRX
LI	Liver	MATRX
LICYT	Liver - Cytosol	MATRX
LIMIC	Liver - microsome	MATRX
LIMTF	Liver - mitochondrial fraction	MATRX
LIS9	Liver - S9 fraction	MATRX
LU	Lung	MATRX
ME	Melon	MATRX
MS	Marsupium - brood pouch	MATRX
MU	Muscle	MATRX
MU&EP	Muscle and epidermis (skin)	MATRX
MU&FA	Muscle and fat	MATRX
MUA	Muscle - Adductor muscle	MATRX
OV	Ovaries (gonads - female)	MATRX
OW	Oral body wall	MATRX
PC	Pyloric caeca - A projection in the form of a blind sac attached to the intestine near the posterior end of the stomach.	MATRX
PE	Penis	MATRX
POP	Population	MATRX
RO	Roe (fish eggs)	MATRX
SB	Whole soft-body	MATRX
SED100	Sediment - <100 micron fraction	MATRX
SED1000	Sediment - <1000 micron fraction	MATRX
SED20	Sediment - <20 micron fraction	MATRX
SED2000	Sediment - <2000 micron fraction	MATRX
SED500	Sediment - <500 micron fraction	MATRX
SED62	Sediment - <62 micron fraction	MATRX
SED63	Sediment - <63 micron fraction	MATRX
SED90	Sediment - <90 micron fraction	MATRX
SEDsort	Sediment - sorted -  material >500 microns removed	MATRX
SEDtot	Sediment - untreated total	MATRX
SF	Seafloor	MATRX
SG	Suprarenal gland	MATRX
SH	Shell	MATRX
